AMZN,Open,High,Low,Close,Volume,r_percent_increase_high,r_percent_increase_close,c_four_percent_high,SMA,SMA_diff,Stochastic,Stochastic_diff,rsi_up_var,rsi_down_var,RSI,RSI_diff,ROC,ROC_diff,tr,ATR,ATR_diff,pos_dx,neg_dx,dx,ADX,ADX_diff,rsi_over_80,rsi_over_70,rsi_over_60,rsi_under_40,rsi_under_30,rsi_under_20,sto_over_80,sto_over_70,sto_over_60,sto_under_40,sto_under_30,sto_under_20
1999-11-01,68.06,71.88,66.31,69.13,12824100.0,15.723998264140034,12.830898307536534,Buy,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-02,69.75,70.0,65.06,66.44,13243200.0,25.01505117399158,17.399157134256477,Buy,,,,,0.0,2.6899999999999977,,,,,4.939999999999998,,,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-03,68.19,68.5,65.0,65.81,10772100.0,26.211821911563593,18.523020817504936,Buy,,,,,0.0,0.6299999999999955,,,,,3.5,,,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-04,67.19,67.19,61.0,63.06,16759200.0,31.71582619727244,23.69172216936251,Buy,,,,,0.0,2.75,,,,,6.189999999999998,,,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-05,64.75,65.5,62.25,64.94,11091400.0,27.902679396365883,20.1108715737604,Buy,,,,,1.8799999999999955,0.0,,,,,3.25,,,0.0,1.25,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-08,64.81,80.0,63.5,78.0,32339400.0,6.48717948717949,-3.9230769230769256,Buy,,,,,13.060000000000002,0.0,,,,,16.5,,,14.5,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-09,80.88,83.06,70.0,70.81,26477100.0,12.455867815280318,11.481429176669955,Buy,,,,,0.0,7.189999999999998,,,,,13.060000000000002,,,0.0,6.5,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-10,71.56,75.0,70.13,72.0,11506700.0,11.11111111111111,9.638888888888886,Buy,,,,,1.1899999999999977,0.0,,,,,4.8700000000000045,,,0.0,0.12999999999999545,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-11,74.75,75.0,71.38,73.0,9293900.0,9.58904109589041,8.13698630136986,Buy,69.24333333333334,,,,1.0,0.0,,,,,3.6200000000000045,,,0.0,1.25,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-12,73.75,75.0,70.81,74.94,10319600.0,6.752068321323729,5.3376034160661865,Buy,69.88888888888889,0.6455555555555463,,,1.9399999999999977,0.0,,,8.404455373933173,,4.189999999999998,,,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-15,75.63,76.0,73.31,73.5,6437200.0,12.244897959183673,9.523809523809524,Buy,70.67333333333333,0.7844444444444463,,,0.0,1.4399999999999977,,,10.626128838049372,2.221673464116199,2.6899999999999977,,,0.0,2.5,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-16,74.25,79.63,73.75,78.94,15238700.0,8.47479098049151,3.5596655687864227,Buy,72.13222222222223,1.4588888888888931,,,5.439999999999998,0.0,,,19.951375170946655,9.325246332897283,6.1299999999999955,,,3.6299999999999955,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-17,77.94,80.0,75.44,76.5,6657400.0,14.705882352941178,14.052287581699346,Buy,73.62555555555555,1.4933333333333252,,,0.0,2.4399999999999977,,,21.313035204567075,1.3616600336204208,4.560000000000002,,,0.0,1.6899999999999977,,,,0,0,0,0,0,0,0,0,0,0,0,0
1999-11-18,76.75,78.19,75.25,77.94,5810400.0,22.055427251732098,19.489350782653318,Buy,75.07000000000001,1.444444444444457,76.7905711695376,,1.4399999999999977,0.0,,,20.018478595626732,-1.2945566089403435,2.9399999999999977,,,0.0,0.0,,,,0,0,0,0,0,0,0,1,1,0,0,0
1999-11-19,77.88,78.13,76.06,77.94,5760600.0,24.30074416217603,19.489350782653318,Buy,75.06333333333333,-0.006666666666674814,76.7905711695376,0.0,0.0,0.0,60.22278951032723,,-0.07692307692307984,-20.095401672549812,2.069999999999993,5.607857142857142,,0.0,0.8100000000000023,12.399256044637333,,,0,0,1,0,0,0,0,1,1,0,0,0
1999-11-22,77.88,82.5,76.0,80.5,10708400.0,20.347826086956516,15.689440993788814,Buy,76.14,1.076666666666668,88.3952855847688,11.6047144152312,2.5600000000000023,0.0,66.36405959031657,6.14127007998934,13.684507837876003,13.761430914799083,6.5,5.719285714285713,0.11142857142857121,4.3700000000000045,0.0,22.85012285012288,,,0,0,1,0,0,0,1,1,1,0,0,0
1999-11-23,80.38,85.63,76.25,81.75,18332500.0,18.507645259938833,13.92048929663608,Buy,77.22333333333333,1.0833333333333286,84.24685343077549,-4.148432153993312,1.25,0.0,68.28820559889857,1.9241460085819995,13.541666666666666,-0.14284117120933715,9.379999999999995,6.139285714285713,0.41999999999999993,3.1299999999999955,0.0,28.92354124748492,,,0,0,1,0,0,0,1,1,1,0,0,0
1999-11-24,84.25,87.75,83.25,87.25,14483100.0,11.037249283667617,6.739255014326642,Buy,78.80666666666667,1.5833333333333428,98.0392156862745,13.792362255499015,5.5,0.0,76.1061946902655,7.817989091366925,19.52054794520548,5.978881278538813,6.0,6.1257142857142854,-0.013571428571427901,0.0,7.0,9.623609923011124,,,0,1,1,0,0,0,1,1,1,0,0,0
1999-11-26,91.06,95.13,90.5,93.13,11496000.0,4.026629442714485,-2.8884355202405216,Buy,80.82777777777777,2.0211111111110966,93.67688902940246,-4.3623266568720425,5.8799999999999955,0.0,78.00516590502683,1.8989712147613318,24.272751534560978,4.752203589355499,7.8799999999999955,6.45642857142857,0.33071428571428463,7.3799999999999955,0.0,24.825108716203438,,,0,1,1,0,0,0,1,1,1,0,0,0
1999-11-29,95.5,96.88,90.13,90.44,18053700.0,3.2507739938080467,-1.5258735072976508,0,82.71000000000001,1.8822222222222393,76.04166666666667,-17.63522236273579,0.0,2.6899999999999977,65.56556556556558,-12.43960033946125,23.047619047619044,-1.2251324869419342,6.75,5.759999999999999,-0.6964285714285712,1.75,0.0,0.946686596910804,,,0,0,1,0,0,0,0,1,1,0,0,0
1999-11-30,88.27,88.88,83.81,85.06,13465500.0,9.781330825299781,4.702562896778744,Buy,83.39,0.6799999999999926,55.81308411214956,-20.22858255451711,0.0,5.3799999999999955,68.67627785058978,3.1107122850242064,7.7527235875348435,-15.2948954600842,6.6299999999999955,5.300714285714284,-0.4592857142857145,0.0,0.0,20.45184304399524,,,0,0,1,0,0,0,0,0,0,0,0,0
1999-12-01,87.25,87.63,81.97,85.0,10663600.0,9.858823529411758,4.776470588235297,Buy,84.33444444444444,0.9444444444444429,54.43037974683544,-1.3827043653141189,0.0,0.060000000000002274,67.55807671528905,-1.1182011353007368,11.11111111111111,3.3583875235762672,5.659999999999997,5.357142857142855,0.056428571428570606,0.0,0.0,20.919128618322866,,,0,0,1,0,0,0,0,0,0,0,0,0
1999-12-02,86.0,91.31,85.63,89.06,9538700.0,26.880754547496068,16.3260723108017,Buy,85.57,1.2355555555555497,70.00383582662066,15.573456079785217,4.060000000000002,0.0,70.03493013972057,2.476853424431525,14.267385168078015,3.156274056966904,6.310000000000002,5.549285714285712,0.19214285714285673,3.680000000000007,0.0,33.22203672787979,,,0,1,1,0,0,0,0,1,1,0,0,0
1999-12-03,92.5,93.38,86.06,86.56,11151200.0,30.5452865064695,23.267097966728283,Buy,86.52777777777777,0.9577777777777783,56.215528213831156,-13.788307612789502,0.0,2.5,64.2962598425197,-5.738670297200869,11.059789581729541,-3.2075955863484733,7.319999999999993,5.7728571428571405,0.22357142857142875,2.069999999999993,0.0,36.85872138910811,,,0,0,1,0,0,0,0,0,0,0,0,0
1999-12-06,86.88,89.88,84.69,87.38,9199200.0,29.32021057450218,22.110322728313125,Buy,87.29222222222222,0.7644444444444503,58.927799394725454,2.712271180894298,0.8199999999999932,0.0,67.34132933533235,3.045069492812644,8.546583850931672,-2.5132057307978695,5.189999999999998,5.951428571428569,0.17857142857142883,0.0,0.0,46.49394536750211,,,0,0,1,0,0,0,0,0,0,0,0,0
1999-12-07,88.0,88.0,84.38,86.06,6727100.0,31.303741575644896,23.98326748779921,Buy,87.77111111111111,0.47888888888888914,49.9768839574665,-8.950915437258956,0.0,1.3199999999999932,59.91643454038998,-7.424894794942368,5.272171253822632,-3.2744125971090394,3.6200000000000045,5.772142857142855,-0.17928571428571427,0.0,0.0,40.401505646173135,,,0,0,0,0,0,0,0,0,0,0,0,0
